Fe,C,Mn,Cu,Si,P,S,Mo,Ni,Cr,Through Hardening Time,Carburization Time,Normalizing Temperature,Cooling Rate for Tempering,Cooling Rate for Through Hardening,Tempering Temperature,Diffusion time,Quenching Media Temperature (for Carburization),Carburization Temperature,Diffusion Temperature,Reduction Ratio (Ingot to Bar),Through Hardening Temperature,Tempering Time,Fatigue Strength
99.031,0.26,0.44,0,0.21,0.017,0.022,0,0,0.02,0,0,885,0,0,30,0,30,30,30,825,30,0,232
98.833,0.25,0.44,0.08,0.18,0,0.017,0,0.08,0.12,0,0,885,0,0,30,0,30,30,30,610,30,0,235
98.975,0.26,0.43,0,0.27,0,0.015,0,0.02,0.03,0,0,885,0,0,30,0,30,30,30,1270,30,0,235
98.938,0.26,0.51,0,0.23,0.018,0.024,0,0,0.02,0,0,885,0,0,30,0,30,30,30,1740,30,0,241
99.082,0.22,0.42,0.02,0.19,0.026,0.022,0,0,0.02,0,0,885,0,0,30,0,30,30,30,825,30,0,225
98.918,0.26,0.45,0.03,0.22,0.026,0.026,0,0.02,0.05,0,0,885,0,0,30,0,30,30,30,825,30,0,245
98.861,0.28,0.5,0,0.27,0.021,0.018,0,0.02,0.03,0,0,885,0,0,30,0,30,30,30,1270,30,0,255
98.859,0.27,0.54,0.02,0.25,0.02,0.021,0,0,0.02,0,0,885,0,0,30,0,30,30,30,1740,30,0,245
98.85,0.27,0.37,0.09,0.23,0,0.03,0,0.06,0.1,0,0,885,0,0,30,0,30,30,30,610,30,0,275
98.966,0.22,0.47,0,0.26,0.021,0.023,0,0.02,0.02,0,0,885,0,0,30,0,30,30,30,1270,30,0,239
98.887,0.23,0.51,0.03,0.26,0.029,0.024,0,0,0.03,0,0,885,0,0,30,0,30,30,30,1740,30,0,255
98.607,0.35,0.77,0.02,0.21,0.021,0.022,0,0,0,30,0,865,24,24,550,0,30,30,30,825,865,60,397
98.469,0.35,0.74,0,0.3,0.017,0.024,0,0,0.1,30,0,865,24,24,550,0,30,30,30,1270,865,60,419
